amenity_type,lat,lon
school,52.381326,4.9132037
school,52.343361,4.8622625
school,52.3668387,4.8549605
school,52.3233121,4.8676061
school,52.3465856,4.8354225
school,52.3435094,4.9005338
school,52.3326919,4.8781709
school,52.3498157,4.7953374
school,52.329992,4.88806
school,52.3738312,4.8743934
school,52.365423,4.8673517
school,52.3530386,4.9254819
school,52.3327246,4.8776023
school,52.365241,4.8614669
school,52.3653131,4.8626578
school,52.3418015,4.7992948
school,52.3704766,4.9391123
school,52.3733594,4.9426116
school,52.3552067,4.8456694
school,52.3551919,4.8463493
school,52.3472717,4.8064665
school,52.3481913,4.878747
school,52.3518237,4.8935401
school,52.3559768,4.7929864
school,52.3471134,4.8627529
school,52.3757412,4.8296077
school,52.3836013,4.8853483
school,52.3731727,4.8551379
school,52.3717578,4.8574232
school,52.3744342,4.8606386
school,52.3196675,4.949602
school,52.3520981,4.8764128
school,52.3511885,4.8884428
school,52.3748348,4.9310968
school,52.3508098,4.7754694
school,52.3466671,4.8424599
school,52.3606513,4.9291442
school,52.3706192,4.9213573
school,52.3539339,4.8932567
school,52.3725348,4.9381439
school,52.3817207,4.8846203
school,52.3777035,4.8804509
school,52.3811868,4.8900415
school,52.3711391,4.8817741
school,52.3708834,4.9044929
school,52.3683431,4.9285239
school,52.3867768,4.8900567
school,52.3127299,4.8490397
school,52.3121573,4.8463733
school,52.3857157,4.8669044
school,52.385721,4.8660671
school,52.375249,4.8067677
school,52.3668358,4.8367683
school,52.3602839,4.8397797
school,52.3551899,4.7846945
school,52.3793737,4.8605161
school,52.3716637,4.868009
school,52.3640427,4.8763933
school,52.3645339,4.8592981
school,52.3517112,4.8784287
school,52.3514226,4.8699044
school,52.3510897,4.8698055
school,52.3509662,4.87035
school,52.3495906,4.8764423
school,52.3486438,4.875734
school,52.3485,4.8757357
school,52.3479369,4.8743773
school,52.3487738,4.8746171
school,52.3456859,4.883913
school,52.3523643,4.8925558
school,52.3265955,4.8712938
school,52.322197,4.8603147
school,52.3586897,4.9254268
school,52.3615415,4.926216
school,52.3533059,4.9447126
school,52.3635599,4.9439627
school,52.3977722,4.9065365
school,52.4057877,4.916392
school,52.3962532,4.9357902
school,52.3947044,4.9322309
school,52.3816124,4.912836
school,52.351541,4.8632076
school,52.3609864,4.8231011
school,52.3636989,4.8705277
school,52.3941814,4.8730885
school,52.3560446,4.882461
school,52.3661817,4.9058942
school,52.3357341,4.8816352
school,52.3395776,4.9185145
school,52.3616473,4.8900889
school,52.3161729,4.8629935
school,52.3790534,4.8402038
school,52.3617477,4.9182722
school,52.3607134,4.8302634
school,52.3800816,4.8847404
school,52.3388207,4.8996475
school,52.3883193,4.9038001
school,52.3533915,4.9448651
school,52.3512812,4.8969175
school,52.3318578,4.8652737
school,52.3283226,4.9405616
school,52.3682703,4.9494233
school,52.4003757,4.9258642
school,52.3636889,4.8580577
school,52.4049217,4.9299678
school,52.3396855,4.8929144
school,52.3730143,4.8407327
school,52.3612116,4.7944332
school,52.336456,4.9254988
school,52.3613279,4.8924334
school,52.3911504,4.856146
school,52.3481411,4.9077668
park,52.332242,4.8912935
park,52.3899596,4.9385813
park,52.3898741,4.8311236
supermarket,52.34894,4.8402692
supermarket,52.3549932,4.8267734
supermarket,52.3547176,4.9201804
supermarket,52.3572137,4.8797759
supermarket,52.3488208,4.8777461
supermarket,52.3527583,4.9026013
supermarket,52.318013,4.8659286
supermarket,52.3457535,4.8636889
supermarket,52.3310675,4.8780398
supermarket,52.3536599,4.8696309
supermarket,52.3640618,4.855153
supermarket,52.3636734,4.8375816
supermarket,52.3816138,4.8888813
supermarket,52.3738812,4.8839268
supermarket,52.3784456,4.8844536
supermarket,52.3624356,4.9398394
supermarket,52.362449,4.9255528
supermarket,52.3726884,4.8997302
supermarket,52.362843,4.8922067
supermarket,52.3698562,4.8818702
supermarket,52.3627631,4.8746398
supermarket,52.3258987,4.8598999
supermarket,52.3438435,4.9086625
supermarket,52.360578,4.8902035
supermarket,52.3500811,4.8886114
supermarket,52.3991,4.93575
supermarket,52.3262421,4.8831505
supermarket,52.3557456,4.9107921
supermarket,52.3497202,4.786632
supermarket,52.3632497,4.9316942
supermarket,52.3682131,4.871218
supermarket,52.3131428,4.8766508
supermarket,52.382555,4.8778677
supermarket,52.3915532,4.8778865
supermarket,52.351067,4.8919048
supermarket,52.34678,4.9046879
supermarket,52.3719917,4.9001954
supermarket,52.3119604,4.8752802
supermarket,52.364209,4.9053436
supermarket,52.3837271,4.8460083
supermarket,52.3847281,4.9181125
supermarket,52.3141525,4.8628002
supermarket,52.3571729,4.8922495
supermarket,52.3538192,4.8909915
supermarket,52.3560493,4.9269333
supermarket,52.3558861,4.9251423
supermarket,52.3786576,4.8467614
supermarket,52.3818418,4.8559805
supermarket,52.3796501,4.8232498
supermarket,52.3521575,4.7994975
supermarket,52.3384831,4.7778582
supermarket,52.3619996,4.8642915
supermarket,52.3442901,4.8914252
supermarket,52.3809281,4.8219117
supermarket,52.3492299,4.8399152
supermarket,52.3205896,4.8751563
supermarket,52.3786438,4.8838068
supermarket,52.366607,4.8703682
supermarket,52.3591985,4.8028753
supermarket,52.3244979,4.8683478
supermarket,52.3687164,4.9268201
supermarket,52.3327091,4.9397012
supermarket,52.3432081,4.9066964
supermarket,52.3784781,4.8958868
supermarket,52.3257332,4.8714211
supermarket,52.3470164,4.9052552
supermarket,52.3740031,4.9007231
supermarket,52.3517607,4.8604453
supermarket,52.365416,4.8978876
supermarket,52.3641067,4.8766569
supermarket,52.3694252,4.879283
supermarket,52.3547235,4.9015438
supermarket,52.3523878,4.852273
supermarket,52.3679551,4.8741705
supermarket,52.3611752,4.8997539
supermarket,52.3565968,4.9187424
supermarket,52.3685515,4.9023015
supermarket,52.3715884,4.8738348
supermarket,52.3732368,4.9387449
supermarket,52.3790436,4.84655
supermarket,52.3558314,4.8260012
supermarket,52.3688459,4.9036621
supermarket,52.3664344,4.9243536
supermarket,52.361537,4.9405929
supermarket,52.3713243,4.8617903
supermarket,52.3622526,4.9122853
supermarket,52.349932,4.9397256
supermarket,52.3550701,4.7856063
supermarket,52.3319059,4.8743905
supermarket,52.3618767,4.7975348
supermarket,52.349288,4.849778
supermarket,52.3585556,4.8029438
supermarket,52.3836237,4.8760256
supermarket,52.3811954,4.8896101
supermarket,52.3251753,4.9246799
supermarket,52.3638939,4.9373446
supermarket,52.3636612,4.9321272
supermarket,52.3635473,4.9338235
supermarket,52.3635852,4.9349766
supermarket,52.3634256,4.932598
supermarket,52.3633908,4.9323622
supermarket,52.3561557,4.9185173
supermarket,52.3636775,4.9271777
supermarket,52.3625107,4.9280646
supermarket,52.3631401,4.9274816
supermarket,52.3612564,4.9286792
supermarket,52.3609746,4.9402606
supermarket,52.3604086,4.9404551
supermarket,52.3540342,4.8899012
supermarket,52.3579125,4.9014698
supermarket,52.3573336,4.8971131
supermarket,52.3704166,4.8851104
supermarket,52.3522299,4.9028477
supermarket,52.3838987,4.885178
supermarket,52.3793082,4.8938782
supermarket,52.3732809,4.8952155
supermarket,52.3633839,4.8820679
supermarket,52.3699591,4.9198033
supermarket,52.3789157,4.8792326
supermarket,52.3760877,4.9067549
supermarket,52.3570557,4.9281602
supermarket,52.3116007,4.8478734
supermarket,52.3893851,4.8796428
supermarket,52.3790639,4.8013039
supermarket,52.3791655,4.8036671
supermarket,52.3764726,4.8187167
supermarket,52.3776694,4.8194598
supermarket,52.3569916,4.8276512
supermarket,52.3556159,4.8258014
supermarket,52.3566835,4.7934597
supermarket,52.3562942,4.7915641
supermarket,52.3100747,4.8701144
supermarket,52.3149247,4.8634894
supermarket,52.3458024,4.8109148
supermarket,52.3459131,4.8115009
supermarket,52.3836824,4.8644019
supermarket,52.3712089,4.8708777
supermarket,52.3632846,4.8778499
supermarket,52.3618779,4.8810786
supermarket,52.3636792,4.8749228
supermarket,52.3587807,4.8550064
supermarket,52.3511901,4.8519714
supermarket,52.3509667,4.8542191
supermarket,52.3507004,4.8538202
supermarket,52.374448,4.935934
supermarket,52.3740522,4.9377197
supermarket,52.3739386,4.9386165
supermarket,52.3472483,4.8772036
supermarket,52.3460683,4.8663566
supermarket,52.3541051,4.9020095
supermarket,52.3434858,4.8950279
supermarket,52.3471137,4.9052067
supermarket,52.3319389,4.8843047
supermarket,52.3307361,4.8760736
supermarket,52.3570966,4.9142478
supermarket,52.3620453,4.9253401
supermarket,52.3621752,4.9260115
supermarket,52.3623272,4.9249791
supermarket,52.3557035,4.9282388
supermarket,52.353442,4.9315569
supermarket,52.3921826,4.9132734
supermarket,52.4083854,4.9157297
supermarket,52.3992095,4.9376117
supermarket,52.3979977,4.9383878
supermarket,52.3982724,4.9397367
supermarket,52.3907657,4.9251809
supermarket,52.3901455,4.924556
supermarket,52.3832636,4.9197677
supermarket,52.3574396,4.9394134
supermarket,52.3130615,4.9457851
supermarket,52.384902,4.8840567
supermarket,52.3748924,4.8709607
supermarket,52.3686464,4.870832
supermarket,52.3692132,4.8789073
supermarket,52.3508329,4.9242271
supermarket,52.3708588,4.870686
supermarket,52.3715043,4.8577207
supermarket,52.3972389,4.9395408
supermarket,52.408302,4.9159362
supermarket,52.3556639,4.9253382
supermarket,52.3597125,4.891796
supermarket,52.3601265,4.8892289
supermarket,52.3846706,4.8643022
supermarket,52.352021,4.8010557
supermarket,52.363275,4.8370867
supermarket,52.3390863,4.9206037
supermarket,52.3433827,4.9060851
supermarket,52.4071177,4.9031641
supermarket,52.3903557,4.9151724
supermarket,52.3676095,4.9265135
supermarket,52.3847627,4.9032416
supermarket,52.3911912,4.9132261
supermarket,52.3747276,4.8607837
supermarket,52.338633,4.7788206
supermarket,52.3334124,4.8657866
supermarket,52.3550767,4.8916834
supermarket,52.3884326,4.8375078
supermarket,52.3779387,4.8475975
supermarket,52.3755253,4.8736025
supermarket,52.3728416,4.8902458
supermarket,52.3694578,4.8517767
supermarket,52.3596772,4.8620911
supermarket,52.3523186,4.8557983
supermarket,52.3775326,4.8016427
supermarket,52.3395081,4.8928771
supermarket,52.3460374,4.8952278
supermarket,52.3364935,4.8717853
supermarket,52.3476279,4.9050539
supermarket,52.3623679,4.9268367
supermarket,52.3597368,4.8595467
supermarket,52.3445879,4.857109
supermarket,52.3635368,4.8636681
supermarket,52.3622762,4.8644712
supermarket,52.3606108,4.8651738
supermarket,52.3588284,4.9098438
supermarket,52.3644316,4.8543569
supermarket,52.3691906,4.9027308
supermarket,52.33155,4.8787765
supermarket,52.3823547,4.7976136
supermarket,52.3994488,4.9362972
supermarket,52.364046,4.8538851
supermarket,52.4017789,4.8925356
supermarket,52.3675637,4.865455
supermarket,52.3576022,4.8045431
supermarket,52.336177,4.7778898
supermarket,52.3466239,4.9200343
supermarket,52.33969,4.8690596
supermarket,52.357082,4.8988529
supermarket,52.3418037,4.8257021
supermarket,52.358282,4.8040021
supermarket,52.3842161,4.8566315
supermarket,52.3261055,4.926916
supermarket,52.3653228,4.8756803
supermarket,52.3671122,4.8889015
supermarket,52.3559876,4.8949408
supermarket,52.325951,4.8682831
supermarket,52.3459192,4.8912116
supermarket,52.3643341,4.8611771
supermarket,52.356557,4.8364921
supermarket,52.3635843,4.9353493
supermarket,52.3608925,4.9363644
supermarket,52.3567593,4.912962
supermarket,52.3635906,4.8362931
supermarket,52.3480806,4.8613919
supermarket,52.3557629,4.8384868
bus_stop,52.340489,4.7900155
bus_stop,52.3775878,4.8463385
bus_stop,52.3127497,4.9499148
bus_stop,52.36196,4.881148
bus_stop,52.3415953,4.7932054
bus_stop,52.3418043,4.7932052
bus_stop,52.3297133,4.9399293
bus_stop,52.3300325,4.940151
bus_stop,52.3325137,4.9409875
bus_stop,52.3323712,4.9410663
bus_stop,52.3577153,4.9442634
bus_stop,52.357613,4.9446655
bus_stop,52.3589967,4.9408343
bus_stop,52.3613445,4.9328607
bus_stop,52.3523594,4.9477449
bus_stop,52.3487119,4.9414936
bus_stop,52.3455153,4.9365555
bus_stop,52.3458716,4.9318949
bus_stop,52.3463777,4.9314393
bus_stop,52.3472783,4.928604
bus_stop,52.3460015,4.9243202
bus_stop,52.3458654,4.9246623
bus_stop,52.3656126,4.8042516
bus_stop,52.3659913,4.8042144
bus_stop,52.3702166,4.8514928
bus_stop,52.3703961,4.8500384
bus_stop,52.3701648,4.8507854
bus_stop,52.3245559,4.8696069
bus_stop,52.3410802,4.8279702
bus_stop,52.340706,4.827531
bus_stop,52.3143431,4.949038
bus_stop,52.3142756,4.9495425
bus_stop,52.3432154,4.9475131
bus_stop,52.3476259,4.9404764
bus_stop,52.350194,4.9338365
bus_stop,52.3504166,4.9345556
bus_stop,52.3130617,4.9493119
bus_stop,52.3928206,4.9133998
bus_stop,52.3985872,4.9120806
bus_stop,52.3924453,4.8450919
bus_stop,52.3922153,4.8432083
bus_stop,52.3739482,4.9054983
bus_stop,52.396298,4.9139606
bus_stop,52.393157,4.9139017
bus_stop,52.3964155,4.9141452
bus_stop,52.4033475,4.8961204
bus_stop,52.3987916,4.9120999
bus_stop,52.4032113,4.8968024
bus_stop,52.4053005,4.9199903
bus_stop,52.3852901,4.9182278
bus_stop,52.4057722,4.9223155
bus_stop,52.3442105,4.8275037
bus_stop,52.3551342,4.8272646
bus_stop,52.4061889,4.9220004
bus_stop,52.3693785,4.8443288
bus_stop,52.3771934,4.8464234
bus_stop,52.3946581,4.9284647
bus_stop,52.4057077,4.9111696
bus_stop,52.386261,4.9226567
bus_stop,52.4058388,4.920234
bus_stop,52.3874889,4.9117219
bus_stop,52.3875597,4.9135914
bus_stop,52.3692575,4.8444892
bus_stop,52.389101,4.9251275
bus_stop,52.394865,4.9288408
bus_stop,52.4049759,4.910043
bus_stop,52.4078881,4.9138446
bus_stop,52.3694461,4.8383423
bus_stop,52.3874015,4.9110572
bus_stop,52.343414,4.8279348
bus_stop,52.3888852,4.9248606
bus_stop,52.4078927,4.9135655
bus_stop,52.3696195,4.8380358
bus_stop,52.3850591,4.9176193
bus_stop,52.3859979,4.9209431
bus_stop,52.4039197,4.9290966
bus_stop,52.3874599,4.9134351
bus_stop,52.3771549,4.862919
bus_stop,52.3752613,4.870595
bus_stop,52.3945479,4.8088864
bus_stop,52.3901959,4.8269676
bus_stop,52.3750821,4.8708319
bus_stop,52.3979744,4.7776807
bus_stop,52.3902555,4.8201059
bus_stop,52.3902003,4.8331223
bus_stop,52.3810193,4.8551527
bus_stop,52.3975549,4.7952342
bus_stop,52.3900862,4.8279674
bus_stop,52.3816444,4.8588001
bus_stop,52.3973318,4.7790374
bus_stop,52.3950184,4.8074379
bus_stop,52.3900938,4.8334174
bus_stop,52.3809655,4.8597334
bus_stop,52.3781673,4.8623664
bus_stop,52.3979318,4.7938352
bus_stop,52.3900827,4.8215625
bus_stop,52.3260914,4.8794364
bus_stop,52.3341583,4.8794685
bus_stop,52.3266215,4.8795783
bus_stop,52.3248524,4.877049
bus_stop,52.3344747,4.8790008
bus_stop,52.3373046,4.8766771
bus_stop,52.3246683,4.8751102
bus_stop,52.33092,4.879574
bus_stop,52.3369632,4.877254
bus_stop,52.3415745,4.8009753
bus_stop,52.3512422,4.856734
bus_stop,52.3432274,4.7973981
bus_stop,52.3470382,4.846544
bus_stop,52.3470395,4.8384823
bus_stop,52.3397731,4.7753506
bus_stop,52.337984,4.7834175
bus_stop,52.3413599,4.8074752
bus_stop,52.3468246,4.8426456
bus_stop,52.3506304,4.8494018
bus_stop,52.3416651,4.801122
bus_stop,52.3468905,4.8337234
bus_stop,52.3431847,4.7976387
bus_stop,52.338431,4.7730654
bus_stop,52.3507256,4.8495231
bus_stop,52.3469428,4.8285137
bus_stop,52.3470378,4.8331505
bus_stop,52.3470537,4.8468358
bus_stop,52.3517583,4.8564723
bus_stop,52.337817,4.78292
bus_stop,52.3469045,4.8424245
bus_stop,52.3383732,4.7719338
bus_stop,52.3469382,4.8388639
bus_stop,52.3398724,4.7754373
bus_stop,52.3414232,4.8067601
bus_stop,52.3468545,4.8289743
bus_stop,52.3382331,4.8573523
bus_stop,52.3295148,4.7829275
bus_stop,52.3350716,4.8761986
bus_stop,52.3286326,4.7840922
bus_stop,52.3360141,4.780475
bus_stop,52.3321453,4.7791638
bus_stop,52.3234462,4.7863728
bus_stop,52.3237389,4.7854851
bus_stop,52.3217882,4.7747515
bus_stop,52.3291981,4.8026855
bus_stop,52.3320027,4.869693
bus_stop,52.3320442,4.8764015
bus_stop,52.3321236,4.8697031
bus_stop,52.3220255,4.7748573
bus_stop,52.3292612,4.8025532
bus_stop,52.3193345,4.9482522
bus_stop,52.3511629,4.8495714
bus_stop,52.3350339,4.9417884
bus_stop,52.3353122,4.9419365
bus_stop,52.3460233,4.8162884
bus_stop,52.3458103,4.815886
bus_stop,52.3505651,4.8105122
bus_stop,52.3475201,4.8053718
bus_stop,52.3469581,4.8053102
bus_stop,52.3537183,4.8075959
bus_stop,52.3593589,4.8077813
bus_stop,52.3926218,4.9269245
bus_stop,52.3904455,4.9456813
bus_stop,52.3941606,4.9345553
bus_stop,52.392691,4.9395228
bus_stop,52.3734195,4.9064773
bus_stop,52.3950048,4.9446154
bus_stop,52.3941478,4.9480037
bus_stop,52.387722,4.9231737
bus_stop,52.3907852,4.945874
bus_stop,52.3723269,4.9094836
bus_stop,52.3925736,4.9403953
bus_stop,52.3899562,4.9488121
bus_stop,52.3936136,4.949413
bus_stop,52.4034035,4.9413908
bus_stop,52.3981458,4.9322578
bus_stop,52.403129,4.9424457
bus_stop,52.4013769,4.9442707
bus_stop,52.4023409,4.9376046
bus_stop,52.4081644,4.9230739
bus_stop,52.4086637,4.9241196
bus_stop,52.4082598,4.8987878
bus_stop,52.3991742,4.907681
bus_stop,52.4082474,4.8996049
bus_stop,52.4033004,4.8977648
bus_stop,52.4087966,4.8954501
bus_stop,52.4036433,4.9159799
bus_stop,52.3407407,4.8964871
bus_stop,52.3400983,4.8252164
bus_stop,52.3993263,4.9074916
bus_stop,52.3409095,4.9019399
bus_stop,52.3404398,4.8984382
bus_stop,52.3388591,4.9396789
bus_stop,52.3399499,4.9383064
bus_stop,52.3474338,4.9397468
bus_stop,52.3454621,4.9362362
bus_stop,52.324767,4.9424088
bus_stop,52.324906,4.94245
bus_stop,52.322754,4.9453036
bus_stop,52.3231487,4.9446131
bus_stop,52.3280187,4.9394149
bus_stop,52.3279697,4.939281
bus_stop,52.322916,4.9362368
bus_stop,52.3229636,4.9359667
bus_stop,52.3241404,4.9313492
bus_stop,52.324283,4.9311466
bus_stop,52.3485663,4.8161595
bus_stop,52.3481501,4.8158564
bus_stop,52.3713304,4.9383586
bus_stop,52.3654364,4.9394503
bus_stop,52.3712232,4.9392477
bus_stop,52.3655297,4.9395843
